"age" "site" "sex" "hybrid"
"177" 3 "GA" "F" FALSE
"178" 3 "GA" "F" FALSE
"179" 0 "RR" "M" TRUE
"180" 0 "RR" "M" TRUE
"181" 0 "RR" "M" TRUE
"182" 0 "RR" "M" TRUE
"183" 0 "RR" "M" TRUE
"184" 0 "RR" "M" TRUE
"185" 0 "RR" "M" TRUE
"186" 0 "RR" "M" TRUE
"187" 0 "RR" "M" TRUE
"188" 0 "RR" "M" TRUE
"189" 0 "RR" "M" TRUE
"190" 0 "RR" "M" TRUE
"191" 0 "RR" "M" TRUE
"192" 0 "RR" "M" TRUE
"193" 0 "RR" "M" TRUE
"194" 0 "RR" "M" TRUE
"195" 0 "RR" "M" TRUE
"196" 1 "RR" "M" TRUE
"197" 1 "RR" "M" TRUE
"198" 1 "RR" "M" TRUE
"199" 1 "RR" "M" TRUE
"200" 1 "RR" "M" TRUE
"201" 1 "RR" "M" TRUE
"202" 1 "RR" "M" TRUE
"203" 1 "RR" "M" TRUE
"204" 1 "RR" "M" TRUE
"205" 2 "RR" "M" TRUE
"206" 3 "RR" "M" TRUE
"207" 0 "RR" "F" TRUE
"208" 0 "RR" "F" TRUE
"209" 0 "RR" "F" TRUE
"210" 0 "RR" "F" TRUE
"211" 0 "RR" "F" TRUE
"212" 0 "RR" "F" TRUE
"213" 0 "RR" "F" TRUE
"214" 0 "RR" "F" TRUE
"215" 0 "RR" "F" TRUE
"216" 0 "RR" "F" TRUE
"217" 0 "RR" "F" TRUE
"218" 0 "RR" "F" TRUE
"219" 0 "RR" "F" TRUE
"220" 0 "RR" "F" TRUE
"221" 0 "RR" "F" TRUE
"222" 1 "RR" "F" TRUE
"223" 1 "RR" "F" TRUE
"224" 1 "RR" "F" TRUE
"225" 1 "RR" "F" TRUE
"226" 1 "RR" "F" TRUE
"227" 1 "RR" "F" TRUE
"228" 1 "RR" "F" TRUE
"229" 1 "RR" "F" TRUE
"230" 1 "RR" "F" TRUE
"231" 1 "RR" "F" TRUE
"232" 1 "RR" "F" TRUE
"233" 1 "RR" "F" TRUE
"234" 1 "RR" "F" TRUE
"235" 1 "RR" "F" TRUE
"236" 1 "RR" "F" TRUE
"237" 1 "RR" "F" TRUE
"238" 1 "RR" "F" TRUE
"239" 1 "RR" "F" TRUE
"240" 1 "RR" "F" TRUE
"241" 1 "RR" "F" TRUE
"242" 2 "RR" "F" TRUE
"243" 2 "RR" "F" TRUE
"244" 3 "RR" "F" TRUE
"245" 0 "JA" "M" TRUE
"246" 0 "JA" "M" TRUE
"247" 0 "JA" "M" TRUE
"248" 0 "JA" "M" TRUE
"249" 0 "JA" "M" TRUE
"250" 0 "JA" "M" TRUE
"251" 0 "JA" "M" TRUE
"252" 0 "JA" "M" TRUE
"253" 0 "JA" "M" TRUE
"254" 0 "JA" "M" TRUE
"255" 0 "JA" "M" TRUE
"256" 0 "JA" "M" TRUE
"257" 0 "JA" "M" TRUE
"258" 0 "JA" "M" TRUE
"259" 0 "JA" "M" TRUE
"260" 0 "JA" "M" TRUE
"261" 0 "JA" "M" TRUE
"262" 0 "JA" "M" TRUE
"263" 0 "JA" "M" TRUE
"264" 0 "JA" "M" TRUE
"265" 0 "JA" "M" TRUE
"266" 0 "JA" "M" TRUE
"267" 0 "JA" "M" TRUE
"268" 0 "JA" "M" TRUE
"269" 0 "JA" "M" TRUE
"270" 0 "JA" "M" TRUE
"271" 0 "JA" "M" TRUE
"272" 0 "JA" "M" TRUE
"273" 0 "JA" "M" TRUE
"274" 0 "JA" "M" TRUE
"275" 0 "JA" "M" TRUE
"276" 0 "JA" "M" TRUE
"277" 0 "JA" "M" TRUE
"278" 0 "JA" "M" TRUE
"279" 0 "JA" "M" TRUE
"280" 0 "JA" "M" TRUE
"281" 0 "JA" "M" TRUE
"282" 0 "JA" "M" TRUE
"283" 0 "JA" "M" TRUE
"284" 0 "JA" "M" TRUE
"285" 0 "JA" "M" TRUE
"286" 0 "JA" "M" TRUE
"287" 0 "JA" "M" TRUE
"288" 0 "JA" "M" TRUE
"289" 0 "JA" "M" TRUE
"290" 0 "JA" "M" TRUE
"291" 0 "JA" "M" TRUE
"292" 0 "JA" "M" TRUE
"293" 0 "JA" "M" TRUE
"294" 0 "JA" "M" TRUE
"295" 0 "JA" "M" TRUE
"296" 0 "JA" "M" TRUE
"297" 0 "JA" "M" TRUE
"298" 0 "JA" "M" TRUE
"299" 0 "JA" "M" TRUE
"300" 0 "JA" "M" TRUE
"301" 0 "JA" "M" TRUE
"302" 0 "JA" "M" TRUE
"303" 0 "JA" "M" TRUE
"304" 0 "JA" "M" TRUE
"305" 0 "JA" "M" TRUE
"306" 0 "JA" "M" TRUE
"307" 0 "JA" "M" TRUE
"308" 0 "JA" "M" TRUE
"309" 0 "JA" "M" TRUE
"310" 0 "JA" "M" TRUE
"311" 0 "JA" "M" TRUE
"312" 0 "JA" "M" TRUE
"313" 0 "JA" "M" TRUE
"314" 0 "JA" "M" TRUE
"315" 0 "JA" "M" TRUE
"316" 0 "JA" "M" TRUE
"317" 0 "JA" "M" TRUE
"318" 0 "JA" "M" TRUE
"319" 0 "JA" "M" TRUE
"320" 0 "JA" "M" TRUE
"321" 0 "JA" "M" TRUE
"322" 0 "JA" "M" TRUE
"323" 0 "JA" "M" TRUE
"324" 0 "JA" "M" TRUE
"325" 0 "JA" "M" TRUE
"326" 0 "JA" "M" TRUE
"327" 0 "JA" "M" TRUE
"328" 0 "JA" "M" TRUE
"329" 0 "JA" "M" TRUE
"330" 1 "JA" "M" TRUE
"331" 1 "JA" "M" TRUE
"332" 1 "JA" "M" TRUE
"333" 1 "JA" "M" TRUE
"334" 1 "JA" "M" TRUE
"335" 1 "JA" "M" TRUE
"336" 1 "JA" "M" TRUE
"337" 1 "JA" "M" TRUE
"338" 1 "JA" "M" TRUE
"339" 1 "JA" "M" TRUE
"340" 1 "JA" "M" TRUE
"341" 1 "JA" "M" TRUE
"342" 1 "JA" "M" TRUE
"343" 1 "JA" "M" TRUE
"344" 1 "JA" "M" TRUE
"345" 1 "JA" "M" TRUE
"346" 1 "JA" "M" TRUE
"347" 1 "JA" "M" TRUE
"348" 1 "JA" "M" TRUE
"349" 1 "JA" "M" TRUE
"350" 1 "JA" "M" TRUE
"351" 1 "JA" "M" TRUE
"352" 1 "JA" "M" TRUE
"353" 1 "JA" "M" TRUE
"354" 1 "JA" "M" TRUE
"355" 1 "JA" "M" TRUE
"356" 1 "JA" "M" TRUE
"357" 2 "JA" "M" TRUE
"358" 2 "JA" "M" TRUE
"359" 2 "JA" "M" TRUE
"360" 2 "JA" "M" TRUE
"361" 3 "JA" "M" TRUE
"362" 3 "JA" "M" TRUE
"363" 3 "JA" "M" TRUE
"364" 3 "JA" "M" TRUE
"365" 0 "JA" "F" TRUE
"366" 0 "JA" "F" TRUE
"367" 0 "JA" "F" TRUE
"368" 0 "JA" "F" TRUE
"369" 0 "JA" "F" TRUE
"370" 0 "JA" "F" TRUE
"371" 0 "JA" "F" TRUE
"372" 0 "JA" "F" TRUE
"373" 0 "JA" "F" TRUE
"374" 0 "JA" "F" TRUE
"375" 0 "JA" "F" TRUE
"376" 0 "JA" "F" TRUE
"377" 0 "JA" "F" TRUE
"378" 0 "JA" "F" TRUE
"379" 0 "JA" "F" TRUE
"380" 0 "JA" "F" TRUE
"381" 0 "JA" "F" TRUE
"382" 0 "JA" "F" TRUE
"383" 0 "JA" "F" TRUE
"384" 0 "JA" "F" TRUE
"385" 0 "JA" "F" TRUE
"386" 1 "JA" "F" TRUE
"387" 1 "JA" "F" TRUE
"388" 1 "JA" "F" TRUE
"389" 1 "JA" "F" TRUE
"390" 1 "JA" "F" TRUE
"391" 1 "JA" "F" TRUE
"392" 1 "JA" "F" TRUE
"393" 1 "JA" "F" TRUE
"394" 1 "JA" "F" TRUE
"395" 1 "JA" "F" TRUE
"396" 1 "JA" "F" TRUE
"397" 1 "JA" "F" TRUE
"398" 1 "JA" "F" TRUE
"399" 2 "JA" "F" TRUE
"400" 2 "JA" "F" TRUE
"401" 2 "JA" "F" TRUE
"402" 3 "JA" "F" TRUE
"403" 3 "JA" "F" TRUE
"404" 0 "BD" "M" FALSE
"405" 0 "BD" "M" FALSE
"406" 0 "BD" "M" FALSE
"407" 0 "BD" "M" FALSE
"408" 0 "BD" "M" FALSE
"409" 0 "BD" "M" FALSE
"410" 0 "BD" "M" FALSE
"411" 0 "BD" "M" FALSE
"412" 0 "BD" "M" FALSE
"413" 0 "BD" "M" FALSE
"414" 0 "BD" "M" FALSE
"415" 0 "BD" "M" FALSE
"416" 0 "BD" "M" FALSE
"417" 0 "BD" "M" FALSE
"418" 0 "BD" "M" FALSE
"419" 0 "BD" "M" FALSE
"420" 0 "BD" "M" FALSE
"421" 0 "BD" "M" FALSE
"422" 0 "BD" "M" FALSE
"423" 0 "BD" "M" FALSE
"424" 0 "BD" "M" FALSE
"425" 0 "BD" "M" FALSE
"426" 0 "BD" "M" FALSE
"427" 0 "BD" "M" FALSE
"428" 0 "BD" "M" FALSE
"429" 0 "BD" "M" FALSE
"430" 0 "BD" "M" FALSE
"431" 0 "BD" "M" FALSE
"432" 0 "BD" "M" FALSE
"433" 0 "BD" "M" FALSE
"434" 0 "BD" "M" FALSE
"435" 0 "BD" "M" FALSE
"436" 0 "BD" "M" FALSE
"437" 0 "BD" "M" FALSE
"438" 0 "BD" "M" FALSE
"439" 0 "BD" "M" FALSE
"440" 0 "BD" "M" FALSE
"441" 0 "BD" "M" FALSE
"442" 0 "BD" "M" FALSE
"443" 0 "BD" "M" FALSE
"444" 1 "BD" "M" FALSE
"445" 1 "BD" "M" FALSE
"446" 1 "BD" "M" FALSE
"447" 1 "BD" "M" FALSE
"448" 1 "BD" "M" FALSE
"449" 1 "BD" "M" FALSE
"450" 1 "BD" "M" FALSE
"451" 1 "BD" "M" FALSE
"452" 1 "BD" "M" FALSE
"453" 1 "BD" "M" FALSE
"454" 1 "BD" "M" FALSE
"455" 1 "BD" "M" FALSE
"456" 1 "BD" "M" FALSE
"457" 3 "BD" "M" FALSE
"458" 0 "BD" "F" FALSE
"459" 0 "BD" "F" FALSE
"460" 0 "BD" "F" FALSE
"461" 0 "BD" "F" FALSE
"462" 0 "BD" "F" FALSE
"463" 0 "BD" "F" FALSE
"464" 0 "BD" "F" FALSE
"465" 0 "BD" "F" FALSE
"466" 1 "BD" "F" FALSE
"467" 1 "BD" "F" FALSE
"468" 1 "BD" "F" FALSE
"469" 2 "BD" "F" FALSE
"470" 2 "BD" "F" FALSE
"471" 2 "BD" "F" FALSE
"472" 2 "BD" "F" FALSE
"473" 2 "BD" "F" FALSE
"474" 3 "BD" "F" FALSE
